name,rank,size,url
,,,https://itunes.apple.com/cn/genre/id6000&l=
,,,https://itunes.apple.com/cn/genre/id6018&l=
,,,https://itunes.apple.com/cn/genre/id6006&l=
,,,https://itunes.apple.com/cn/genre/id6015&l=
抖音短视频,,183.5 MB,https://itunes.apple.com/cn/app/%E6%8A%96%E9%9F%B3%E7%9F%AD%E8%A7%86%E9%A2%91-%E5%A5%BD%E7%8E%A9%E7%9A%84%E4%BA%BA%E9%83%BD%E5%9C%A8%E8%BF%99/id1142110895?mt=8&v0=WWW-GCCN-ITSTOP100-FREEAPPS&l=&ign-mpt=uo%3D4
中国移动（手机营业厅）,,65.6 MB,https://itunes.apple.com/cn/app/%E4%B8%AD%E5%9B%BD%E7%A7%BB%E5%8A%A8-%E5%8E%9F%E4%B8%AD%E5%9B%BD%E7%A7%BB%E5%8A%A8%E6%89%8B%E6%9C%BA%E8%90%A5%E4%B8%9A%E5%8E%85/id583700738?mt=8&v0=WWW-GCCN-ITSTOP100-FREEAPPS&l=&ign-mpt=uo%3D4
全国违章查询-12123交管局数据直连查违章,,145.1 MB,https://itunes.apple.com/cn/app/%E5%85%A8%E5%9B%BD%E8%BF%9D%E7%AB%A0%E6%9F%A5%E8%AF%A2-12123%E4%BA%A4%E7%AE%A1%E5%B1%80%E7%9B%B4%E8%BF%9E%E6%9F%A5%E8%BF%9D%E7%AB%A0%E5%8A%A9%E6%89%8B/id563428065?mt=8&v0=WWW-GCCN-ITSTOP100-FREEAPPS&l=&ign-mpt=uo%3D4
钉钉,,249.7 MB,https://itunes.apple.com/cn/app/%E9%92%89%E9%92%89/id930368978?mt=8&v0=WWW-GCCN-ITSTOP100-FREEAPPS&l=&ign-mpt=uo%3D4
WPS Office,,264.8 MB,https://itunes.apple.com/cn/app/wps-office/id599852710?mt=8&v0=WWW-GCCN-ITSTOP100-FREEAPPS&l=&ign-mpt=uo%3D4
喜马拉雅FM「听书社区」电台有声小说相声评书,,205.4 MB,https://itunes.apple.com/cn/app/%E5%96%9C%E9%A9%AC%E6%8B%89%E9%9B%85fm-%E5%90%AC%E4%B9%A6%E7%A4%BE%E5%8C%BA-%E7%94%B5%E5%8F%B0%E6%9C%89%E5%A3%B0%E5%B0%8F%E8%AF%B4%E7%9B%B8%E5%A3%B0%E8%AF%84%E4%B9%A6/id876336838?mt=8&v0=WWW-GCCN-ITSTOP100-FREEAPPS&l=&ign-mpt=uo%3D4
铁路12306,,45.6 MB,https://itunes.apple.com/cn/app/%E9%93%81%E8%B7%AF12306/id564818797?mt=8&v0=WWW-GCCN-ITSTOP100-FREEAPPS&l=&ign-mpt=uo%3D4
Google 翻译,,77.6 MB,https://itunes.apple.com/cn/app/google-%E7%BF%BB%E8%AF%91/id414706506?mt=8&v0=WWW-GCCN-ITSTOP100-FREEAPPS&l=&ign-mpt=uo%3D4
安居客-二手房新房、租房买房找房平台,,153.5 MB,https://itunes.apple.com/cn/app/%E5%AE%89%E5%B1%85%E5%AE%A2-%E4%BA%8C%E6%89%8B%E6%88%BF-%E6%96%B0%E6%88%BF-%E7%A7%9F%E6%88%BF%E7%9A%84%E6%89%BE%E6%88%BF%E5%8A%A9%E6%89%8B/id415606289?mt=8&v0=WWW-GCCN-ITSTOP100-FREEAPPS&l=&ign-mpt=uo%3D4
农行掌上银行,,210.6 MB,https://itunes.apple.com/cn/app/%E5%86%9C%E8%A1%8C%E6%8E%8C%E4%B8%8A%E9%93%B6%E8%A1%8C/id515651240?mt=8&v0=WWW-GCCN-ITSTOP100-FREEAPPS&l=&ign-mpt=uo%3D4
